title,imdbid,year,rating,BUDGET,passed,adj_budget
Elf,319343,2003,1,32000000.0,False,50896521.73913044
Freddy vs. Jason,329101,2003,3,30000000.0,True,47715489.13043478
Open Water,374102,2003,1,130000.0,False,206767.11956521738
Anger Management,305224,2003,1,75000000.0,False,119288722.82608694
Kontroll,373981,2003,0,500000.0,False,795258.1521739131
Cheaper by the Dozen,349205,2003,1,40000000.0,False,63620652.17391303
Owning Mahowny,285861,2003,1,10000000.0,False,15905163.043478258
Sylvia,325055,2003,3,7000000.0,True,11133614.130434781
Tears of the Sun,314353,2003,3,75000000.0,True,119288722.82608694
Paycheck,338337,2003,2,60000000.0,False,95430978.26086956
Gigli,299930,2003,0,54000000.0,False,85887880.4347826
"Brown Bunny, The",330099,2003,3,10000000.0,True,15905163.043478258
"Cat in the Hat, The",312528,2003,3,109000000.0,True,173366277.17391303
Bad Boys II,172156,2003,1,130000000.0,False,206767119.5652174
"Hebrew Hammer, The",317640,2003,2,1000000.0,False,1590516.3043478262
"I, Robot",343818,2004,1,120000000.0,False,185911064.0550556
"Incredibles, The",317705,2004,3,92000000.0,True,142531815.7755426
"Day After Tomorrow, The",319262,2004,3,125000000.0,True,193657358.3906829
"Butterfly Effect, The",289879,2004,2,13000000.0,False,20140365.27263102
"Bourne Supremacy, The",372183,2004,2,75000000.0,False,116194415.03440972
"Whole Ten Yards, The",327247,2004,1,40000000.0,False,61970354.68501852
Eternal Sunshine of the Spotless Mind,338013,2004,2,20000000.0,False,30985177.34250926
Shrek 2,298148,2004,3,150000000.0,True,232388830.06881943
Mean Girls,377092,2004,3,17000000.0,True,26337400.741132874
Harold and Kumar Go to White Castle,366551,2004,3,9000000.0,True,13943329.804129167
Hauru no ugoku shiro (Howl's Moving Castle),347149,2004,3,24000000.0,True,37182212.81101111
Resident Evil: Apocalypse,318627,2004,3,45000000.0,True,69716649.02064583
Wimbledon,360201,2004,3,31000000.0,True,48027024.880889356
Anchorman: The Legend of Ron Burgundy,357413,2004,3,26000000.0,True,40280730.54526204
Flight of the Phoenix,377062,2004,0,45000000.0,False,69716649.02064583
Ocean's Twelve,349903,2004,2,110000000.0,False,170418475.38380092
Kill Bill: Vol. 2,378194,2004,3,30000000.0,True,46477766.0137639
D.E.B.S.,367631,2004,3,3500000.0,True,5422406.0349391205
Sky Captain and the World of Tomorrow,346156,2004,3,70000000.0,True,108448120.6987824
Spanglish,371246,2004,3,80000000.0,True,123940709.37003703
A Dirty Shame,365125,2004,3,15000000.0,True,23238883.00688195
"Notebook, The",332280,2004,3,29000000.0,True,44928507.14663842
Saw,387564,2004,2,1200000.0,False,1859110.6405505554
Banlieue 13,414852,2004,0,12000000.0,False,18591106.405505557
I Heart Huckabees,356721,2004,3,22000000.0,True,34083695.07676019
Ghost Cat,371835,2004,3,2800000.0,True,4337924.827951296
Cube Zero,377713,2004,3,825000.0,True,1278138.565378507
Troy,332452,2004,1,175000000.0,False,271120301.746956
Van Helsing,338526,2004,3,160000000.0,True,247881418.74007407
Shaun of the Dead,365748,2004,3,4000000.0,True,6197035.468501853
"Princess Diaries 2: Royal Engagement, The",368933,2004,3,40000000.0,True,61970354.68501852
Catwoman,327554,2004,3,100000000.0,True,154925886.7125463
Primer,390384,2004,1,7000.0,False,10844.81206987824
50 First Dates,343660,2004,2,75000000.0,False,116194415.03440972
Speak,378793,2004,3,1000000.0,True,1549258.8671254632
"Stepford Wives, The",327162,2004,3,90000000.0,True,139433298.04129165
Million Dollar Baby,405159,2004,3,30000000.0,True,46477766.0137639
Around the World in 80 Days,327437,2004,1,110000000.0,False,170418475.38380092
"Chronicles of Riddick, The",296572,2004,2,105000000.0,False,162672181.0481736
Miracle,349825,2004,1,28000000.0,False,43379248.279512964
A Very Long Engagement,344510,2004,3,47000000.0,True,72815166.75489676
Spider-Man 2,316654,2004,1,200000000.0,False,309851773.4250926
A Cinderella Story,356470,2004,3,19000000.0,True,29435918.475383796
Der Untergang (Downfall),363163,2004,3,18339750.0,True,28413020.30836421
Appleseed,401233,2004,3,10000000.0,True,15492588.67125463
Finding Neverland,308644,2004,3,25000000.0,True,38731471.67813657
Closer,376541,2004,3,27000000.0,True,41829989.4123875
"Terminal, The",362227,2004,1,60000000.0,False,92955532.0275278
Lemony Snicket&#39;s A Series of Unfortunate Events,339291,2004,3,140000000.0,True,216896241.3975648
Immortal (Ad Vitam),314063,2004,3,24665810.0,True,38213724.85733192
AVP: Alien vs. Predator,370263,2004,3,70000000.0,True,108448120.6987824
Sideways,375063,2004,3,16000000.0,True,24788141.87400741
Garden State,333766,2004,3,2500000.0,True,3873147.1678136573
Napoleon Dynamite,374900,2004,1,400000.0,False,619703.5468501851
Harry Potter and the Prisoner of  Azkaban,304141,2004,3,130000000.0,True,201403652.72631022
Team America: World Police,372588,2004,2,32000000.0,False,49576283.74801482
"Phantom of the Opera, The",293508,2004,2,70000000.0,False,108448120.6987824
A Home at the End of The World,359423,2004,3,6500000.0,True,10070182.63631551
Collateral,369339,2004,1,65000000.0,False,100701826.36315511
Vera Drake,383694,2004,3,11000000.0,True,17041847.538380094
Three... Extremes,420251,2004,3,77532.0,True,120117.1384859714
Cellular,337921,2004,3,25000000.0,True,38731471.67813657
Ray,350258,2004,3,40000000.0,True,61970354.68501852
Dawn of the Dead,363547,2004,3,28000000.0,True,43379248.279512964
New York Minute,363282,2004,3,30000000.0,True,46477766.0137639
2046,212712,2004,3,12000000.0,True,18591106.405505557
"Aviator, The",338751,2004,1,110000000.0,False,170418475.38380092
Raising Helen,350028,2004,3,50000000.0,True,77462943.35627314
Kung Fu Hustle,373074,2004,0,20000000.0,False,30985177.34250926
Crash,375679,2004,3,6500000.0,True,10070182.63631551
"Grudge, The",391198,2004,3,10000000.0,True,15492588.67125463
13 Going on 30,337563,2004,3,37000000.0,True,57322578.083642125
"Polar Express, The",338348,2004,1,165000000.0,False,255627713.0757014
Layer Cake,375912,2004,1,6500000.0,False,10070182.63631551
Connie and Carla,345074,2004,3,20000000.0,True,30985177.34250926
Nochnoy dozor (Night Watch),403358,2004,1,10000000.0,False,15492588.67125463
White Chicks,381707,2004,3,37000000.0,True,57322578.083642125
Hellboy,167190,2004,1,66000000.0,False,102251085.23028056
"Life Aquatic with Steve Zissou, The",362270,2004,2,50000000.0,False,77462943.35627314
Home on the Range,299172,2004,3,110000000.0,True,170418475.38380092
Taxi,316732,2004,3,25000000.0,True,38731471.67813657
Secret Window,363988,2004,1,40000000.0,False,61970354.68501852
Raise Your Voice,361696,2004,3,15000000.0,True,23238883.00688195
Bride and Prejudice,361411,2004,3,7000000.0,True,10844812.069878241
House of Voices (Saint Ange),367000,2004,3,320000.0,True,495762.8374801481
"Holy Girl, The",300270,2004,3,1400000.0,True,2168962.413975648
"Village, The",368447,2004,3,60000000.0,True,92955532.0275278
Bridget Jones: The Edge of Reason,317198,2004,3,40000000.0,True,61970354.68501852
Shark Tale,307453,2004,1,75000000.0,False,116194415.03440972
In Search of Santa,439623,2004,3,2000000.0,True,3098517.7342509264
Before Sunset,381681,2004,0,2700000.0,False,4182998.94123875
Dodgeball: A True Underdog Story,364725,2004,3,20000000.0,True,30985177.34250926
Meet the Fockers,290002,2004,3,80000000.0,True,123940709.37003703
National Treasure,368891,2004,2,100000000.0,False,154925886.7125463
After the Sunset,367479,2004,3,60000000.0,True,92955532.0275278
Taking Lives,364045,2004,2,45000000.0,False,69716649.02064583
Jersey Girl,300051,2004,2,35000000.0,False,54224060.3493912
"Machinist, The",361862,2004,1,5000000.0,False,7746294.335627315
She Hate Me,384533,2004,2,8000000.0,False,12394070.937003706
Alexander,346491,2004,1,155000000.0,False,240135124.40444675
Shutter,440803,2004,1,125000.0,False,193657.3583906829
Christmas with the Kranks,388419,2004,3,60000000.0,True,92955532.0275278
Veer-Zaara,420332,2004,3,7000000.0,True,10844812.069878241
Swades,367110,2004,3,2900000.0,True,4492850.714663843
Without a Paddle,364751,2004,3,19000000.0,True,29435918.475383796
9 Songs,411705,2004,0,1000000.0,False,1549258.8671254632
"Door in the Floor, The",348593,2004,1,7500000.0,False,11619441.503440974
"Sea Inside, The",369702,2004,3,12806000.0,True,19839809.05240868
Yu-Gi-Oh!: The Movie,403703,2004,0,20000000.0,False,30985177.34250926
Romasanta,374180,2004,2,4500000.0,False,6971664.902064583
